$Well : 150
DEPTH      GR         CALI       NPHI       RHOB       LLS        LLD        DT         PayFlag    PERM_core  PHI_core   PHIE       ResFlag    SW_core    SW         VCL_core   VWCL       
M          GAPI       IN         V/V        G/C3       OHMM       OHMM       us/f                                        Dec                              Dec                   Dec        
$Format : 11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
3302.4652  86.4957    12.1425    0.1656     2.4451     3.0330     3.2388     75.4602    0.0000     -999.0000  -999.0000  0.1349     0.0000     -999.0000  0.8662     -999.0000  0.1671     
3302.6176  87.8343    12.1646    0.1617     2.4391     2.9581     3.1449     75.4597    0.0000     -999.0000  -999.0000  0.1398     0.0000     -999.0000  0.8703     -999.0000  0.1452     
3302.7700  86.2954    12.1643    0.1665     2.4261     2.7733     2.8831     75.4943    0.0000     -999.0000  -999.0000  0.1473     0.0000     -999.0000  0.8757     -999.0000  0.1419     
3302.9224  87.5859    12.1598    0.1686     2.4170     2.5698     2.6039     75.5095    0.0000     -999.0000  -999.0000  0.1500     0.0000     -999.0000  0.9086     -999.0000  0.1335     
3303.0748  86.4697    12.1598    0.1705     2.4180     2.4561     2.4459     75.6765    0.0000     -999.0000  -999.0000  0.1485     0.0000     -999.0000  0.9345     -999.0000  0.1474     
3303.2272  84.4908    12.1771    0.1725     2.4233     2.3950     2.3749     75.6156    0.0000     -999.0000  -999.0000  0.1480     0.0000     -999.0000  0.9517     -999.0000  0.1458     
3303.3796  80.7404    12.1838    0.1736     2.4215     2.3182     2.2932     75.9465    0.0000     -999.0000  -999.0000  0.1521     0.0000     -999.0000  0.9603     -999.0000  0.1168     
3303.5320  82.9227    12.2011    0.1694     2.4196     2.1769     2.1491     76.2071    0.0000     -999.0000  -999.0000  0.1480     0.0000     -999.0000  1.0000     -999.0000  0.1316     
3303.6844  86.1621    12.1992    0.1588     2.4228     2.2047     2.1708     76.4735    0.0000     -999.0000  -999.0000  0.1434     0.0000     -999.0000  1.0000     -999.0000  0.1065     
3303.8368  85.7455    12.1987    0.1480     2.4324     2.1839     2.1411     76.7403    0.0000     -999.0000  -999.0000  0.1340     0.0000     -999.0000  0.9980     -999.0000  0.1037     
3303.9892  82.6015    12.1998    0.1475     2.4730     3.1222     3.0323     77.2750    0.0000     -999.0000  -999.0000  0.1160     0.0000     -999.0000  0.9587     -999.0000  0.1336     
3304.1416  82.8410    12.2056    0.1634     2.5535     5.1165     5.0095     77.9476    0.0000     -999.0000  -999.0000  0.1004     0.0000     -999.0000  0.8423     -999.0000  0.1758     
3304.2940  98.0080    12.3057    0.1800     2.6317     5.5140     5.3973     78.7315    0.0000     -999.0000  -999.0000  0.0645     0.0000     -999.0000  1.0000     -999.0000  0.3534     
3304.4464  119.0368   12.4245    0.1887     2.6664     5.2725     5.1492     80.1450    0.0000     -999.0000  -999.0000  0.0354     0.0000     -999.0000  1.0000     -999.0000  0.5179     
3304.5988  135.8608   12.4733    0.1813     2.6594     5.1107     4.9875     80.7079    0.0000     -999.0000  -999.0000  0.0269     0.0000     -999.0000  1.0000     -999.0000  0.5758     
3304.7512  142.5680   12.4915    0.1806     2.6569     5.0889     4.9528     80.9383    0.0000     -999.0000  -999.0000  0.0253     0.0000     -999.0000  1.0000     -999.0000  0.5940     
3304.9036  141.9792   12.5018    0.1843     2.6624     4.9291     4.7737     81.2739    0.0000     -999.0000  -999.0000  0.0224     0.0000     -999.0000  1.0000     -999.0000  0.6225     
3305.0560  143.6890   12.4982    0.1999     2.6729     4.6583     4.4943     81.3684    0.0000     -999.0000  -999.0000  0.0199     0.0000     -999.0000  1.0000     -999.0000  0.6775     
3305.2084  145.1333   12.5075    0.2101     2.6794     4.4435     4.2697     81.6450    0.0000     -999.0000  -999.0000  0.0194     0.0000     -999.0000  1.0000     -999.0000  0.6872     
3305.3608  147.5130   12.5005    0.2124     2.6809     4.3451     4.1682     81.4942    0.0000     -999.0000  -999.0000  0.0188     0.0000     -999.0000  1.0000     -999.0000  0.7016     
3305.5132  150.4470   12.4787    0.2049     2.6705     4.3208     4.1370     81.4491    0.0000     -999.0000  -999.0000  0.0247     0.0000     -999.0000  1.0000     -999.0000  0.6528     
3305.6656  147.6663   12.4605    0.1919     2.6550     4.3490     4.1437     81.3262    0.0000     -999.0000  -999.0000  0.0301     0.0000     -999.0000  1.0000     -999.0000  0.5942     
3305.8180  144.4662   12.4560    0.1839     2.6518     4.3358     4.1247     81.0853    0.0000     -999.0000  -999.0000  0.0279     0.0000     -999.0000  1.0000     -999.0000  0.5871     
